Date,11Pro
2019-09-17,273560.72
2019-09-20,270696.57
2019-09-22,267926.33
2019-09-25,265766.47
2019-09-27,263747.48
2019-09-30,261681.54
2019-10-02,259380.82
2019-10-05,256986.2
2019-10-07,254591.58
2019-10-10,252009.15
2019-10-12,249473.67
2019-10-15,247407.73
2019-10-17,246703.43
2019-10-20,245905.22
2019-10-22,244825.29
2019-10-25,243322.79
2019-10-27,241820.28
2019-10-30,240223.87
2019-11-01,238533.55
2019-11-04,236984.09
2019-11-06,236045.02
2019-11-09,235387.68
2019-11-11,234542.52
2019-11-14,233274.78
2019-11-16,232007.04
2019-11-19,230739.3
2019-11-21,229659.37
2019-11-24,228579.45
2019-11-26,227405.61
2019-11-29,226090.92
2019-12-01,224823.18
2019-12-04,224353.65
2019-12-06,224353.65
2019-12-09,224259.74
2019-12-11,223038.96
2019-12-14,221348.64
2019-12-16,219752.22
2019-12-19,218437.53
2019-12-21,217122.84
2019-12-23,216136.82
2019-12-26,216089.86
2019-12-28,216089.86
2019-12-31,213478.74
2020-01-02,207729.24
2020-01-03,202112.45
2020-01-06,196087.75
2020-01-08,194397.43
2020-01-11,194397.43
2020-01-13,194397.43
2020-01-16,194397.43
2020-01-18,194397.43
2020-01-21,194397.43
2020-01-23,194397.43
2020-01-25,194420.91
2020-01-28,197438.96
2020-01-30,203407.25
2020-02-01,209085.02
2020-02-03,214329.12
2020-02-05,216183.77
2020-02-08,217216.74
2020-02-10,218296.67
2020-02-13,219000.97
2020-02-15,219752.22
2020-02-17,220221.76
