Date,A3
2017-02-11,32857.64
2017-02-28,32857.64
2017-03-18,32857.64
2017-04-05,32857.64
2017-04-22,32865.73
2017-05-10,32902.15
2017-05-28,32970.94
2017-06-15,33059.96
2017-07-02,33080.19
2017-07-20,33122.68
2017-08-07,33466.63
2017-08-25,33826.76
2017-09-11,33881.39
2017-09-29,33917.8
2017-10-17,34184.87
2017-11-04,34419.56
2017-11-21,34330.54
2017-12-09,34261.75
2017-12-27,34342.68
2018-01-14,34391.24
2018-01-31,34306.26
2018-02-18,34265.8
2018-03-08,34354.82
2018-03-24,34202.85
2018-04-07,33681.09
2018-04-23,33272.4
2018-05-11,33460.56
2018-05-29,33666.92
2018-06-16,33630.51
2018-07-03,33545.53
2018-07-21,33432.23
2018-08-08,33379.63
2018-08-26,33496.97
2018-09-12,33594.09
2018-09-30,33662.88
2018-10-18,33666.92
2018-11-05,33577.9
2018-11-22,33747.85
2018-12-09,34208.54
2018-12-20,34644.43
2018-12-25,35153.65
2018-12-30,35643.27
2019-01-04,36132.89
2019-01-09,36622.51
2019-01-14,37108.42
2019-01-19,37592.48
2019-02-01,37887.36
2019-02-19,37887.36
2019-03-09,37887.36
2019-03-26,37887.36
2019-04-13,37887.36
2019-05-01,37887.36
2019-05-19,37887.36
2019-06-05,37887.36
2019-06-23,37887.36
2019-07-11,37887.36
2019-07-29,37887.36
2019-08-15,37887.36
2019-09-02,37887.36
2019-09-20,37887.36
2019-10-08,37887.36
2019-10-25,37887.36
2019-11-12,37887.36
2019-11-27,37717.67
2019-12-04,37162.47
2019-12-10,36635.5
2019-12-17,36095.8
2019-12-23,35544.98
2019-12-29,35006.88
2020-01-03,34445.19
2020-01-06,33867.48
2020-01-11,33216.2
2020-01-16,32531.22
2020-01-21,31863.56
2020-01-26,31183.53
2020-01-31,30486.2
