Date,Mate30Pro
2020-01-27,161892.84
2020-01-28,161892.31
2020-01-28,161891.79
2020-01-29,161891.26
2020-01-29,161777.74
2020-01-29,161239.27
2020-01-30,160735.87
2020-01-30,160206.02
2020-01-30,159895.72
2020-01-31,159891.16
2020-01-31,159890.64
2020-02-01,159890.11
2020-02-01,159889.58
2020-02-01,159889.06
2020-02-02,159858.26
2020-02-02,159418.9
2020-02-02,158950.26
2020-02-02,158467.32
2020-02-03,157987.16
2020-02-03,157498.68
2020-02-03,156983.29
2020-02-03,156868.08
2020-02-04,156867.55
2020-02-04,156867.02
2020-02-05,156866.5
2020-02-05,156865.97
2020-02-06,156865.44
2020-02-06,156864.92
2020-02-06,156864.39
2020-02-07,156863.86
2020-02-07,156863.34
2020-02-08,156862.81
2020-02-08,156862.28
2020-02-09,156861.76
2020-02-09,156861.23
2020-02-10,156860.7
2020-02-10,156860.18
2020-02-10,156859.65
2020-02-11,156859.12
2020-02-11,156858.59
2020-02-12,156858.07
2020-02-12,156680.08
2020-02-12,156169.25
2020-02-13,155636.24
2020-02-13,155060.75
2020-02-13,154947.23
2020-02-14,154946.7
2020-02-14,154946.18
2020-02-15,154945.65
2020-02-15,154945.12
2020-02-16,154944.59
2020-02-16,154944.07
2020-02-17,154943.54
2020-02-17,154943.01
2020-02-17,154942.49
2020-02-18,154941.96
2020-02-18,154941.43
2020-02-19,154940.91
2020-02-19,154875.81
2020-02-20,154669.48
2020-02-20,154475.25
2020-02-20,154450.51
2020-02-21,154449.98
2020-02-21,154449.45
2020-02-22,154448.93
2020-02-22,154448.4
2020-02-23,154447.87
2020-02-23,154447.52
