Date,Note10
2019-09-03,170438.59
2019-09-06,169155.02
2019-09-09,168107.49
2019-09-12,167987.27
2019-09-15,167968.21
2019-09-18,167241.02
2019-09-20,166075.46
2019-09-23,165112.23
2019-09-26,165008.87
2019-09-29,165006.67
2019-10-02,164869.59
2019-10-05,164631.34
2019-10-07,164443.68
2019-10-10,164441.48
2019-10-13,164439.28
2019-10-16,164285.34
2019-10-19,164030.24
2019-10-22,163657.11
2019-10-24,162946.78
2019-10-27,162185.87
2019-10-30,161121.48
2019-11-02,159939.07
2019-11-05,159077
2019-11-08,158939.92
2019-11-10,158802.83
2019-11-13,157645.71
2019-11-16,156058.65
2019-11-19,154985.83
2019-11-22,154831.89
2019-11-25,154711.67
2019-11-27,154085.64
2019-11-30,153358.45
2019-12-03,152901.03
2019-12-06,152780.8
2019-12-09,152711.16
2019-12-12,152675.24
2019-12-14,152521.3
2019-12-17,152519.1
2019-12-20,152382.02
2019-12-23,152177.49
2019-12-26,151264.84
2019-12-29,150242.6
2019-12-31,148857.87
2020-01-03,147119.07
2020-01-06,145540.44
2020-01-09,145268.48
2020-01-12,145266.28
2020-01-15,145061.75
2020-01-17,144671.77
2020-01-20,144298.64
2020-01-23,143824.36
2020-01-26,143383.79
2020-01-29,143111.83
2020-02-01,142974.75
2020-02-03,142685.92
2020-02-06,142043.04
2020-02-09,141417.01
2020-02-12,140807.84
2020-02-15,140299.83
2020-02-18,139892.99
2020-02-20,139772.77
2020-02-23,139669.71
