Date,Nova5T
2019-09-24,60392.32
2019-09-27,60163.87
2019-09-29,59911.74
2019-10-01,59348.66
2019-10-03,58762.18
2019-10-04,58175.71
2019-10-05,57593.58
2019-10-07,56949.08
2019-10-09,56574.25
2019-10-12,56255.86
2019-10-14,56122.08
2019-10-17,56635.93
2019-10-19,57186.76
2019-10-21,57640.5
2019-10-24,57684.23
2019-10-26,57683
2019-10-29,57620.23
2019-10-31,57410.71
2019-11-03,57201.19
2019-11-05,57015.34
2019-11-08,56848.42
2019-11-10,56676.77
2019-11-13,56457.79
2019-11-15,56215.13
2019-11-18,55991.41
2019-11-20,55871.83
2019-11-23,55771.19
2019-11-25,55675.28
2019-11-28,55565.17
2019-11-30,55459.79
2019-12-03,55340.22
2019-12-05,55230.11
2019-12-08,55119.99
2019-12-10,55057.22
2019-12-13,55055.99
2019-12-15,55054.75
2019-12-18,54897.3
2019-12-20,54659.38
2019-12-23,54421.46
2019-12-25,54174.07
2019-12-28,53936.15
2019-12-30,53707.7
2020-01-02,53564.45
2020-01-04,53430.67
2020-01-06,53330.03
2020-01-09,53309.86
2020-01-11,53270.75
2020-01-14,53226.92
2020-01-16,53112.07
2020-01-19,52997.23
2020-01-21,52896.59
2020-01-24,52800.68
2020-01-26,52700.03
2020-01-29,52556.79
2020-01-31,52385.14
2020-02-03,52237.16
2020-02-05,52216.99
2020-02-08,52215.75
2020-02-10,52238.19
2020-02-13,52345.83
2020-02-15,52453.47
2020-02-18,52551.64
2020-02-20,52621.42
2020-02-23,52692.66
