Date,Oneplus7Pro
2019-05-21,166853.79
2019-05-24,162194.28
2019-05-28,158028.61
2019-06-02,154569.62
2019-06-06,152245.03
2019-06-11,150310.97
2019-06-15,146628.81
2019-06-20,142003.81
2019-06-24,137601.14
2019-06-27,132561.72
2019-07-01,126972.07
2019-07-05,125056.61
2019-07-10,124461.51
2019-07-14,123717.64
2019-07-19,123085.35
2019-07-23,122564.65
2019-07-28,122006.74
2019-08-01,120556.2
2019-08-06,119105.65
2019-08-10,119031.27
2019-08-15,118882.49
2019-08-19,118398.98
2019-08-24,117171.59
2019-08-29,116018.6
2019-09-02,115014.37
2019-09-07,114382.08
2019-09-11,112652.59
2019-09-16,109156.4
2019-09-20,108393.94
2019-09-25,108393.94
2019-09-29,108393.94
2019-10-04,108393.94
2019-10-08,108393.94
2019-10-13,108393.94
2019-10-17,108393.94
2019-10-22,108207.97
2019-10-27,107464.1
2019-10-31,105976.36
2019-11-05,104451.43
2019-11-09,104302.66
2019-11-14,104302.66
2019-11-18,104302.66
2019-11-23,104302.66
2019-11-27,104302.66
2019-12-02,104302.66
2019-12-06,104042.3
2019-12-11,103856.34
2019-12-15,103484.4
2019-12-20,103484.4
2019-12-24,103484.4
2019-12-29,103484.4
2020-01-03,103484.4
2020-01-07,103484.4
2020-01-12,103484.4
2020-01-16,103633.17
2020-01-21,103893.53
2020-01-25,103558.79
2020-01-30,102033.86
2020-02-03,99616.28
2020-02-08,98612.06
2020-02-12,97942.57
2020-02-17,97421.87
2020-02-21,97347.48
2020-02-24,97347.48
