Date,Oneplus7TPro
2019-11-12,155640.62
2019-11-14,155046.33
2019-11-15,154452.04
2019-11-17,153857.76
2019-11-19,153244.82
2019-11-20,152687.83
2019-11-22,152074.9
2019-11-24,151499.26
2019-11-26,150793.08
2019-11-27,149695.31
2019-11-29,148560.25
2019-12-01,147443.83
2019-12-02,146607.12
2019-12-04,146572.26
2019-12-06,146574.7
2019-12-07,146577.13
2019-12-09,145884.2
2019-12-10,143131.82
2019-12-10,140786.61
2019-12-11,138415.76
2019-12-12,136121.74
2019-12-12,133827.79
2019-12-13,131314.59
2019-12-13,128945.09
2019-12-14,126638.33
2019-12-15,124203.38
2019-12-15,121711.53
2019-12-16,119261.77
2019-12-18,118900.58
2019-12-20,118903.01
2019-12-21,118905.45
2019-12-23,118907.88
2019-12-25,118910.31
2019-12-26,118912.75
2019-12-28,118915.18
2019-12-30,118917.62
2020-01-01,118920.05
2020-01-02,118922.48
2020-01-04,118924.92
2020-01-06,118927.35
2020-01-07,118929.79
2020-01-09,118932.22
2020-01-11,118934.65
2020-01-12,118937.09
2020-01-14,118939.52
2020-01-16,118941.96
2020-01-18,118944.39
2020-01-19,118946.82
2020-01-21,118949.26
2020-01-23,118951.69
2020-01-24,118954.13
2020-01-26,118956.56
2020-01-28,118958.99
2020-01-29,118961.43
2020-01-31,118963.86
2020-02-02,118966.3
2020-02-04,118968.73
2020-02-05,118971.16
2020-02-07,118973.6
2020-02-09,118976.03
2020-02-10,118978.47
2020-02-12,118980.9
2020-02-14,118983.33
2020-02-15,118985.77
2020-02-17,118988.2
2020-02-19,118990.64
2020-02-21,118993.07
2020-02-22,118995.51
2020-02-24,118997.39
